company_name,bse_code,nse_code,industry,sector,sector_v1
Amber Enterp.,540902,AMBER,Consumer Durables,Household Appliances,Household Appliances
Alkem Lab,539523,ALKEM,Pharmaceuticals & Biotechnology,Pharmaceuticals,Pharmaceuticals & Biotechnology
Nalwa Sons Invst,532256,NSIL,Finance,Investment Company,Finance
Atul,500027,ATUL,Chemicals & Petrochemicals,Specialty Chemicals,Specialty Chemicals
Britannia Inds.,500825,BRITANNIA,Food Products,Packaged Foods,Packaged Foods
Linde India,523457,LINDEINDIA,Chemicals & Petrochemicals,Industrial Gases,Industrial Gases
LTIMindtree,540005,LTIM,IT - Software,Computers - Software & Consulting,Computers - Software & Consulting
Navin Fluo.Intl.,532504,NAVINFLUOR,Chemicals & Petrochemicals,Specialty Chemicals,Specialty Chemicals
ICRA,532835,ICRA,Capital Markets,Ratings,Capital Markets
Technvision Ven.,501421,,IT - Software,Software Products,Software Products
Divi's Lab.,532488,DIVISLAB,Pharmaceuticals & Biotechnology,Pharmaceuticals,Pharmaceuticals & Biotechnology
Persistent Systems,533179,PERSISTENT,IT - Software,Computers - Software & Consulting,Computers - Software & Consulting
Bengal & Assam,533095,,Finance,Non Banking Financial Company (NBFC),Finance
Wendt India,505412,WENDT,Industrial Products,Abrasives & Bearings,Abrasives & Bearings
Polycab India,542652,POLYCAB,Industrial Products,Cables - Electricals,Cables - Electricals
Apollo Hospitals,508869,APOLLOHOSP,Healthcare Services,Hospital,Hospital
Volt.Transform.,532757,VOLTAMP,Electrical Equipment,Heavy Electrical Equipment,Electrical Equipment
Eicher Motors,505200,EICHERMOT,Automobiles,2/3 Wheelers,Automobiles
Tasty Bite Eat.,519091,TASTYBITE,Food Products,Packaged Foods,Packaged Foods
Apar Inds.,532259,APARINDS,Electrical Equipment,Other Electrical Equipment,Electrical Equipment
Craftsman Auto,543276,CRAFTSMAN,Auto Components,Auto Components & Equipments,Auto Components & Equipments
Lakshmi Mills,502958,,Textiles & Apparels,Other Textile Products,Other Textile Products
Hawkins Cookers,508486,,Consumer Durables,Houseware,Houseware
Dynamatic Tech.,505242,DYNAMATECH,Industrial Manufacturing,Industrial Products,Industrial Products
Oracle Fin.Serv.,532466,OFSS,IT - Software,Software Products,Software Products
Gillette India,507815,GILLETTE,Personal Products,Personal Care,Personal Products
Astrazeneca Phar,506820,ASTRAZEN,Pharmaceuticals & Biotechnology,Pharmaceuticals,Pharmaceuticals & Biotechnology
Elantas Beck,500123,,Chemicals & Petrochemicals,Specialty Chemicals,Specialty Chemicals
Bajaj Auto,532977,BAJAJ-AUTO,Automobiles,2/3 Wheelers,Automobiles
Benares Hotels,509438,,Leisure Services,Hotels & Resorts,Hotels & Resorts
Vadilal Enterp.,519152,,Food Products,Dairy Products,Dairy Products
Dixon Technolog.,540699,DIXON,Consumer Durables,Consumer Electronics,Consumer Electronics
RRPSemiconductor,504346,,Finance,Other Financial Services,Finance
Bajaj Holdings,500490,BAJAJHLDNG,Finance,Holding Company,Finance
Disa India,500068,,Industrial Manufacturing,Industrial Products,Industrial Products
P & G Hygiene,500459,PGHH,Personal Products,Personal Care,Personal Products
UltraTech Cem.,532538,ULTRACEMCO,Cement & Cement Products,Cement & Cement Products,Cement & Cement Products
Saraswati Commer,512020,,Finance,Non Banking Financial Company (NBFC),Finance
