,company_name,bse_code,Industry,Sector
505,DDev Plastiks,543547,Chemicals & Petrochemicals,Specialty Chemicals
506,DE Nora India,590031,Industrial Products,Electrodes & Refractories
507,Dec.Gold Mines,512068,Non - Ferrous Metals,Precious Metals
508,Deccan Bearings,505703,Industrial Manufacturing,Industrial Products
509,Deccan Cements,502137,Cement & Cement Products,Cement & Cement Products
510,DEE Development,544198,Industrial Manufacturing,Industrial Products
511,Deep Industries,543288,Oil,Oil Equipment & Services
512,Deepak Builders,544276,Construction,Civil Construction
513,Deepak Fertilis.,500645,Chemicals & Petrochemicals,Commodity Chemicals
514,Deepak Nitrite,506401,Chemicals & Petrochemicals,Specialty Chemicals
515,Delhivery,543529,Transport Services,Logistics Solution Provider
516,Delphi World,533452,Finance,Other Financial Services
517,Delta Corp,532848,Leisure Services,Amusement Parks/ Other Recreation
518,Delton Cables,504240,Electrical Equipment,Other Electrical Equipment
519,Den Networks,533137,Entertainment,TV Broadcasting & Software Production
520,Denta Water,544345,Other Utilities,Water Supply & Management
521,Dev Accele.,544513,Commercial Services & Supplies,Diversified Commercial Services
522,Devyani Intl.,543330,Leisure Services,Restaurants
523,Dhabriya Poly.,538715,Industrial Products,Plastic Products - Industrial
524,Dhampur Bio,543593,Agricultural Food & other Products,Sugar
525,Dhampur Sugar,500119,Agricultural Food & other Products,Sugar
526,Dhanashree Elect,542679,Electrical Equipment,Other Electrical Equipment
527,Dhanlaxmi Bank,532180,Banks,Private Sector Bank
528,Dhanuka Agritech,507717,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
529,Dhariwalcorp,,Chemicals & Petrochemicals,Trading - Chemicals
530,Dharmaj Crop,543687,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
531,Dhunseri Invest.,533336,Finance,Non Banking Financial Company (NBFC)
532,Dhunseri Vent.,523736,Diversified,Diversified
533,Diamond Power,522163,Electrical Equipment,Other Electrical Equipment
534,DIC India,500089,Chemicals & Petrochemicals,Printing Inks
535,Diffusion Eng,544264,Industrial Products,Other Industrial Products
536,Digilogic Systems,544684,Aerospace & Defense,Aerospace & Defense
537,DigiSpice Tech.,517214,IT - Services,IT Enabled Services
538,Digitide Solutio,544413,IT - Services,IT Enabled Services
539,Dilip Buildcon,540047,Construction,Civil Construction
540,Disa India,500068,Industrial Manufacturing,Industrial Products
541,Dish TV India,532839,Entertainment,TV Broadcasting & Software Production
542,Dishman Carbogen,540701,Pharmaceuticals & Biotechnology,Pharmaceuticals
